team_name,total_squad_size,top_11_availability_rate,players_with_issues,key_players_out,squad_depth_score
Arsenal FC,42,59.279903926766806,3,3,6
Manchester United FC,37,72.93818660613744,3,2,7
Leeds United FC,35,74.45698359063594,3,2,8
Brighton & Hove Albion FC,41,79.90063559576589,2,2,7
Sunderland AFC,37,84.87524596181073,2,2,3
AFC Bournemouth,39,86.58238773648536,2,2,5
Burnley FC,36,98.44795008182321,1,0,10
Chelsea FC,45,99.99999999999999,0,0,6
Aston Villa FC,34,100.0,0,0,4
Crystal Palace FC,36,100.0,0,0,9
